SignatureId	TargetGene	CGSID	CellLine	Time	is_exemplar
LINCSKD_12722	IL6	CGS001-3569	HCC515	96 h	1
LINCSKD_12723	IL6ST	CGS001-3572	HCC515	96 h	1
LINCSKD_1543	IL6	CGS001-3569	A375	96 h	1
LINCSKD_1544	IL6R	CGS001-3570	A375	96 h	1
LINCSKD_1545	IL6ST	CGS001-3572	A375	96 h	1
LINCSKD_15923	IL6	CGS001-3569	HEPG2	96 h	1
LINCSKD_15924	IL6R	CGS001-3570	HEPG2	96 h	1
LINCSKD_15925	IL6ST	CGS001-3572	HEPG2	96 h	1
LINCSKD_19255	IL6	CGS001-3569	HT29	96 h	1
LINCSKD_19256	IL6ST	CGS001-3572	HT29	96 h	1
LINCSKD_23173	IL6R	CGS001-3570	MCF7	96 h	1
LINCSKD_27674	IL6R	CGS001-3570	PC3	96 h	1
LINCSKD_31339	IL6	CGS001-3569	VCAP	120 h	0
LINCSKD_31340	IL6ST	CGS001-3572	VCAP	120 h	0
LINCSKD_34351	IL6	CGS001-3569	MCF7	144 h	0
LINCSKD_34352	IL6ST	CGS001-3572	MCF7	144 h	0
LINCSKD_35164	IL6	CGS001-3569	MCF7	96 h	1
LINCSKD_35165	IL6ST	CGS001-3572	MCF7	96 h	1
LINCSKD_35960	IL6	CGS001-3569	PC3	144 h	0
LINCSKD_36707	IL6	CGS001-3569	PC3	96 h	1
LINCSKD_36708	IL6ST	CGS001-3572	PC3	96 h	1
LINCSKD_5165	IL6	CGS001-3569	A549	96 h	1
LINCSKD_5166	IL6R	CGS001-3570	A549	96 h	1
LINCSKD_5167	IL6ST	CGS001-3572	A549	96 h	1
LINCSKD_9600	IL6	CGS001-3569	HA1E	96 h	1
LINCSKD_9601	IL6R	CGS001-3570	HA1E	96 h	1
LINCSKD_9602	IL6ST	CGS001-3572	HA1E	96 h	1
