similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
-0.3458	7.3623e-8	230	STAT5B	CGS001-6777	96 h	LINCSKD_6669	A549	LINCSCP_18714
0.3371	1.6142e-7	230	SOCS4	CGS001-122809	96 h	LINCSKD_20561	HT29	LINCSCP_18714
0.3349	1.973e-7	230	STAT6	CGS001-6778	96 h	LINCSKD_13765	HCC515	LINCSCP_18714
0.3127	1.3098e-6	230	STAT3	CGS001-6774	96 h	LINCSKD_6666	A549	LINCSCP_18714
0.291	7.2409e-6	230	STAT4	CGS001-6775	96 h	LINCSKD_3065	A375	LINCSCP_18714
0.2856	0	230	REL	CGS001-5966	96 h	LINCSKD_20280	HT29	LINCSCP_18714
0.284	0	230	STAT3	CGS001-6774	96 h	LINCSKD_3064	A375	LINCSCP_18714
-0.2839	0	230	IKBKE	CGS001-9641	96 h	LINCSKD_19226	HT29	LINCSCP_18714
-0.2811	0	230	RELA	CGS001-5970	96 h	LINCSKD_35410	MCF7	LINCSCP_18714
0.2622	1e-4	230	IKBKG	CGS001-8517	96 h	LINCSKD_36700	PC3	LINCSCP_18714
0.2501	1e-4	230	IL6	CGS001-3569	96 h	LINCSKD_35164	MCF7	LINCSCP_18714
0.2444	2e-4	230	STAT1	CGS001-6772	96 h	LINCSKD_29652	SKL	LINCSCP_18714
-0.2379	3e-4	230	JAK2	CGS001-3717	96 h	LINCSKD_1613	A375	LINCSCP_18714
0.2372	3e-4	230	SOCS5	CGS001-9655	96 h	LINCSKD_20562	HT29	LINCSCP_18714
0.2354	3e-4	230	IKBKAP	CGS001-8518	120 h	LINCSKD_31310	VCAP	LINCSCP_18714
0.2331	4e-4	230	STAT6	CGS001-6778	144 h	LINCSKD_26430	PC3	LINCSCP_18714
0.2315	4e-4	230	IL6ST	CGS001-3572	96 h	LINCSKD_19256	HT29	LINCSCP_18714
0.2221	7e-4	230	IKBKG	CGS001-8517	96 h	LINCSKD_7606	ASC	LINCSCP_18714
-0.2188	8e-4	230	STAT1	CGS001-6772	96 h	LINCSKD_20628	HT29	LINCSCP_18714
-0.2185	8e-4	230	STAT5A	CGS001-6776	144 h	LINCSKD_34655	MCF7	LINCSCP_18714
0.2145	0.0011	230	STAT3	CGS001-6774	96 h	LINCSKD_17315	HEPG2	LINCSCP_18714
0.2144	0.0011	230	NFKB1	CGS001-4790	96 h	LINCSKD_16384	HEPG2	LINCSCP_18714
0.2087	0.0015	230	STAT3	CGS001-6774	96 h	LINCSKD_28826	PC3	LINCSCP_18714
0.2069	0.0016	230	RELB	CGS001-5971	96 h	LINCSKD_16956	HEPG2	LINCSCP_18714
-0.2067	0.0016	230	JAK2	CGS001-3717	144 h	LINCSKD_35976	PC3	LINCSCP_18714
-0.2063	0.0017	230	STAT5A	CGS001-6776	120 h	LINCSKD_32812	VCAP	LINCSCP_18714
0.2021	0.0021	230	NFKB1	CGS001-4790	96 h	LINCSKD_2066	A375	LINCSCP_18714
-0.2001	0.0023	230	IL6R	CGS001-3570	96 h	LINCSKD_27674	PC3	LINCSCP_18714
